category,brand,name,price_eur,rating_count,specs,image_url
HDD,Samsung,Samsung Spinpoint F2 EG,149.94,2,"{""Cache"":""32 MB"",""Capacity"":""1.5 TB"",""Form Factor"":""3.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac0.100"",""Type"":""5400 RPM""}",https://m.media-amazon.com/images/I/51MBdxH2UNL.jpg
HDD,Samsung,Samsung Spinpoint F2 EG,147.94,6,"{""Cache"":""32 MB"",""Capacity"":""1 TB"",""Form Factor"":""3.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac0.148"",""Type"":""5400 RPM""}",https://fr.pcpartpicker.com/static/forever/img/no-image.png
HDD,Samsung,Samsung Spinpoint F1 DT,199.95,2,"{""Cache"":""32 MB"",""Capacity"":""750 GB"",""Form Factor"":""3.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac0.267"",""Type"":""7200 RPM""}",https://fr.pcpartpicker.com/static/forever/img/no-image.png
HDD,Samsung,Samsung Spinpoint MP4,49.9,0,"{""Cache"":""16 MB"",""Capacity"":""640 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac0.078"",""Type"":""7200 RPM""}",https://images-na.ssl-images-amazon.com/images/I/41yBU6P6VOL.jpg
HDD,Samsung,Samsung Spinpoint M7E,59.9,0,"{""Cache"":""8 MB"",""Capacity"":""640 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac0.094"",""Type"":""5400 RPM""}",https://fr.pcpartpicker.com/static/forever/img/no-image.png
HDD,Samsung,Samsung Spinpoint M5,65.89,0,"{""Cache"":""8 MB"",""Capacity"":""160 GB"",""Form Factor"":""2.5\"""",""Interface"":""PATA 44-Pin 100"",""Price \/ GB"":""\u20ac0.412"",""Type"":""5400 RPM""}",https://fr.pcpartpicker.com/static/forever/img/no-image.png
SSD,Intel,Intel 660p,204.05,135,"{""Cache"":"""",""Capacity"":""1.02 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.200"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/72ac6b04347d22c2592029d4a49bc5ed.256p.jpg
SSD,Intel,Intel 670p,164.87,6,"{""Cache"":"""",""Capacity"":""512 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.322"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/f0b81eeb99c2afdb1c9b4ee48fac9657.256p.jpg
SSD,Intel,Intel 660p,299.36,35,"{""Cache"":"""",""Capacity"":""2.048 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.146"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/72ac6b04347d22c2592029d4a49bc5ed.256p.jpg
SSD,Intel,Intel MEMPEK1J032GAXT,195.27,0,"{""Cache"":"""",""Capacity"":""32 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X2"",""Price \/ GB"":""\u20ac6.102"",""Type"":""SSD""}",https://m.media-amazon.com/images/I/41EuwhNE55L.jpg
SSD,Intel,Intel Optane 905P,4489.95,0,"{""Cache"":"""",""Capacity"":""1.5 TB"",""Form Factor"":""PCIe"",""Interface"":""PCIe x4"",""Price \/ GB"":""\u20ac2.993"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/37f86cffd9296407e5d7e62365856b0e.256p.jpg
SSD,Intel,Intel Optane P1600X,828.17,2,"{""Cache"":"""",""Capacity"":""118 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac7.018"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/b6d3931fe1361d23524d20a2679eb34e.256p.jpg
SSD,Intel,Intel D3-S4520,2740.84,0,"{""Cache"":"""",""Capacity"":""7.68 TB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.357"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/f048f162c116c66e36ddefd9792cc6df.256p.jpg
SSD,Intel,Intel 320,142.16,1,"{""Cache"":"""",""Capacity"":""40 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 3.0 Gb\/s"",""Price \/ GB"":""\u20ac3.554"",""Type"":""SSD""}",https://images-na.ssl-images-amazon.com/images/I/31sTpwMv1JL.jpg
