category,brand,name,price,rating_count,specs,image_url
CASE,APNX,APNX Creator C1,214200,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""3"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/7d15dd43fd8e85a1dbedb9c789c1e5e1.256p.jpg
CASE,Fractal Design,Fractal Design Epoch XL RGB,184900,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tinted Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Full Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/9b980393dd861941bcebb10d5fa1343b.256p.jpg
CASE,Corsair,Corsair iCUE 5000X RGB,206200,11,"{""Color"": ""White / Gray"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/b630d3e8642df2ed4e9a4278d55ee88a.256p.jpg
CASE,Antec,Antec NX410,116700,9,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/94caadb776ce5398961fdfdcce8bc760.256p.jpg
CASE,Corsair,Corsair 3200D RS,118300,0,"{""Color"": ""Gray"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/57ff6d218a80227bf78287806782d11f.256p.jpg
CASE,ARCTIC,ARCTIC Xtender VG,214300,1,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tinted Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/e90ca2a5700fd15fc70003d9bcc53b0b.256p.jpg
CASE,Corsair,Corsair iCUE 5000T LX RGB,370000,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/97b7e96bb29ff545950b0b91c6ad9071.256p.jpg
CASE,Jonsbo,Jonsbo D31 MESH Screen,182100,5,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/c1cacedacb12ba9f58e2cecadf6fb732.256p.jpg
CASE,Cougar,Cougar MX600 RGB,149400,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Full Tower""}",https://m.media-amazon.com/images/I/418pm90jdlL.jpg
CASE,MSI,MSI MAG VAMPIRIC 300R,182000,2,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/9ce2a3873aa9a835fbe4640ac420cb90.256p.jpg
