category,brand,name,price,rating_count,specs,image_url
CPU,AMD,AMD Ryzen 7 3700X,468700,638,"{""Core Clock"": ""3.6 GHz"", ""Boost Clock"": ""4.4 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 2"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg
CPU,Intel,Intel Core i5-12600K,321000,161,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": ""4.9 GHz"", ""Socket"": ""LGA1700"", ""Core Count"": ""10"", ""Microarchitecture"": ""Alder Lake"", ""TDP"": ""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg
CPU,AMD,AMD Ryzen 9 5900X,870200,247,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": ""4.8 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""12"", ""Microarchitecture"": ""Zen 3"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
CPU,Intel,Intel Core i7-12700K,518100,153,"{""Core Clock"": ""3.6 GHz"", ""Boost Clock"": ""5 GHz"", ""Socket"": ""LGA1700"", ""Core Count"": ""12"", ""Microarchitecture"": ""Alder Lake"", ""TDP"": ""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg
CPU,Intel,Intel Core i7-9700K,440500,225,"{""Core Clock"": ""3.6 GHz"", ""Boost Clock"": ""4.9 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""8"", ""Microarchitecture"": ""Coffee Lake Refresh"", ""TDP"": ""95 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/3760e89d1820da393f084e2c18a62e3b.256p.jpg
CPU,Intel,Intel Core i7-8700K,320100,307,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": ""4.7 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""6"", ""Microarchitecture"": ""Coffee Lake"", ""TDP"": ""95 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg
CPU,AMD,AMD Ryzen 5 3600X,427700,203,"{""Core Clock"": ""3.8 GHz"", ""Boost Clock"": ""4.4 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 2"", ""TDP"": ""95 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg
CPU,Intel,Intel Core i9-9900K,693200,211,"{""Core Clock"": ""3.6 GHz"", ""Boost Clock"": ""5 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""8"", ""Microarchitecture"": ""Coffee Lake Refresh"", ""TDP"": ""95 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/76f85d74fb4d0e2cc31f940bee5905c4.256p.jpg
CPU,Intel,Intel Core i7-7700K,609600,302,"{""Core Clock"": ""4.2 GHz"", ""Boost Clock"": ""4.5 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Kaby Lake"", ""TDP"": ""91 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/e466732c63d1d636cf13e256bb7cf5ff.256p.jpg
CPU,AMD,AMD Ryzen 7 2700X,486900,358,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": ""4.3 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen+"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg
CPU,Intel,Intel Core i5-6500,104900,234,"{""Core Clock"": ""3.2 GHz"", ""Boost Clock"": ""3.6 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Skylake"", ""TDP"": ""65 W""}",https://m.media-amazon.com/images/I/51LGOgLV8TL.jpg
CPU,Intel,Intel Core i7-6700K,368500,509,"{""Core Clock"": ""4 GHz"", ""Boost Clock"": ""4.2 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Skylake"", ""TDP"": ""91 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/614a9c530cce56d1fafbc5ba97920ab1.256p.jpg
CPU,Intel,Intel Core i7-4790K,298200,565,"{""Core Clock"": ""4 GHz"", ""Boost Clock"": ""4.4 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Haswell Refresh"", ""TDP"": ""88 W""}",https://m.media-amazon.com/images/I/51D3J+33JwL.jpg
